ID,Capital
1539,653700000
1540,854736120
1565,504165160
1593,276405600
1701,2980810800
1707,1302350400
1711,4968274150
1712,3359296670
1713,1509517000
1720,1786960890
1731,1329152440
1732,424439570
1733,985314200
1734,1612711750
1752,891640760
1757,825296050
1760,480192360
1762,775600000
1777,300595500
1780,946000000
1781,474076050
1783,701840000
1784,496889240
1786,535000000
1788,350000000
1789,7029642880
1795,2342116510
1799,507813930
1813,466355100
3118,324528600
3164,609118640
3176,1386742550
3184,481985000
3205,247128000
3218,661230000
3705,2537361750
4102,423734430
4103,1099969750
4104,1129523480
4105,2486499590
4106,833855570
4107,853948350
4108,1636163790
4109,716572100
4111,547913320
4114,1209887980
4116,382440000
4117,344695000
4119,696904950
4120,867471190
4121,733167640
4123,2083035430
4127,457600000
4128,4253426500
4129,559761190
4130,1008060000
4131,382919340
4132,733200000
4133,595468970
4134,350952420
4135,335780000
4137,794923500
4138,265000000
4139,315270000
4141,1329358190
4142,2370242220
4144,778670000
4147,2165530000
4150,498000000
4151,372870410
4152,554032970
4153,265402770
4154,202130000
4155,525426840
4156,565399590
4157,20242961
4159,1507035000
4160,240840160
4161,455631220
4162,1008500000
4163,402380000
4164,1300000000
4166,1686275000
4167,1720170000
4168,769934560
4169,475922880
4170,359368050
4171,343400000
4172,529820000
4173,445743550
4174,1499935840
4175,252400000
4177,320000000
4180,1131057180
4181,1104000000
4183,208000000
4184,434000000
4186,550000000
4187,241800000
4188,360000000
4191,492433900
4192,583670000
4194,606000000
4195,495800000
4197,273700000
4198,1510000000
4725,2919750000
4726,1109260000
4728,544630000
4732,350000000
4733,847740720
4734,200310000
4735,300675790
4736,660525090
4737,439467940
4740,450000000
4743,1519781000
4744,296996000
4745,562631220
4746,844095370
4747,258187500
4752,766143420
4911,550000000
6130,267000000
6445,205500000
6446,1888827500
6453,689160000
6458,227890000
6461,550000000
6467,520990000
6471,1172511990
6472,224500000
6507,998777980
8403,587347170
8406,926974720
8409,280000000
8432,383981400
8436,556244370
